Date,Time,Lamp,Pump,Mode,Lux,Temp
2026-04-19,12:48:59,OFF,N/A,N/A,0,0
2026-04-19,12:48:59,OFF,OFF,N/A,0,0
2026-04-19,12:48:59,OFF,OFF,MANUAL,0,0
2026-04-19,12:49:59,ON,OFF,MANUAL,26.7,30.0
2026-04-19,12:50:04,OFF,OFF,MANUAL,35.8,30.0
2026-04-19,12:50:06,OFF,OFF,AUTO,35.8,30.0
2026-04-19,12:50:15,OFF,OFF,MANUAL,35.8,30.0
2026-04-19,12:50:19,ON,OFF,MANUAL,26.7,30.0
2026-05-12,18:54:53,OFF,N/A,N/A,40.0,31.0
2026-05-12,18:54:53,OFF,OFF,N/A,40.0,31.0
2026-05-12,18:54:53,OFF,OFF,N/A,40.0,31.0
2026-05-12,18:54:53,OFF,OFF,MANUAL,40.0,31.0
2026-05-12,18:54:53,OFF,OFF,MANUAL,40.0,31.0
2026-05-12,18:57:21,ON,OFF,MANUAL,40.0,31.0
2026-05-12,18:57:21,ON,OFF,MANUAL,40.0,31.0
2026-05-12,18:58:04,OFF,OFF,MANUAL,40.8,31.0
2026-05-12,18:58:04,OFF,OFF,MANUAL,40.8,31.0
2026-05-12,19:06:07,ON,OFF,MANUAL,40.8,31.0
2026-05-12,19:06:07,ON,OFF,MANUAL,40.8,31.0
2026-05-12,19:06:40,OFF,OFF,MANUAL,40.8,31.0
2026-05-12,19:06:44,ON,OFF,MANUAL,40.0,31.0
2026-05-12,19:06:44,ON,OFF,MANUAL,40.0,31.0
2026-05-12,19:07:11,OFF,OFF,MANUAL,45.8,31.0
2026-05-12,19:07:11,OFF,OFF,MANUAL,45.8,31.0
2026-05-12,19:07:19,ON,OFF,MANUAL,43.3,31.0
2026-05-12,19:07:19,ON,OFF,MANUAL,43.3,31.0
2026-05-12,19:07:26,OFF,OFF,MANUAL,49.2,31.0
2026-05-12,19:07:26,OFF,OFF,MANUAL,49.2,31.0
2026-05-12,19:07:28,OFF,ON,MANUAL,40.8,31.0
2026-05-12,19:07:28,OFF,ON,MANUAL,40.8,31.0
2026-05-12,19:07:30,OFF,OFF,MANUAL,40.8,31.0
2026-05-12,19:07:30,OFF,OFF,MANUAL,40.8,31.0
2026-05-12,19:07:35,OFF,ON,MANUAL,40.0,31.0
2026-05-12,19:07:35,OFF,ON,MANUAL,40.0,31.0
2026-05-12,19:07:35,OFF,ON,AUTO,40.0,31.0
2026-05-12,19:07:35,OFF,ON,AUTO,40.0,31.0
2026-05-12,19:07:37,OFF,ON,MANUAL,50.0,31.0
2026-05-12,19:07:37,OFF,ON,MANUAL,50.0,31.0
2026-05-12,19:07:44,ON,ON,MANUAL,44.2,31.0
2026-05-12,19:07:44,ON,ON,MANUAL,44.2,31.0
2026-05-12,19:07:46,ON,OFF,MANUAL,56.7,31.0
2026-05-12,19:07:46,ON,OFF,MANUAL,56.7,31.0
2026-05-12,19:09:24,OFF,OFF,MANUAL,47.5,31.0
2026-05-12,19:09:24,OFF,OFF,MANUAL,47.5,31.0
2026-05-12,19:09:26,OFF,ON,MANUAL,47.5,31.0
2026-05-12,19:09:26,OFF,ON,MANUAL,47.5,31.0
